#{"t_start": 1680424590.0608795, "env_id": "PooyanNoFrameskip-v4"}
r,l,t
370.0,537,54.164371
130.0,377,88.225896
495.0,470,124.538353
465.0,486,169.607812
775.0,491,214.845402
660.0,613,263.587656
455.0,569,318.472982
150.0,314,343.133379
1240.0,904,423.431874
330.0,489,468.911934
235.0,460,505.571295
1890.0,1281,620.42199
920.0,598,676.726221
250.0,511,722.366824
1140.0,716,781.780085
80.0,311,814.03887
65.0,317,838.855768
1475.0,787,908.07851
1765.0,1097,1009.73246
910.0,826,1080.15722
395.0,502,1125.534609
1585.0,749,1195.146085
440.0,486,1240.031607
1115.0,642,1297.521505
515.0,511,1335.620188
695.0,581,1391.285438
500.0,536,1437.73055
790.0,547,1484.551519
1005.0,706,1551.60583
875.0,681,1610.343979
665.0,682,1669.163374
890.0,651,1726.646061
250.0,398,1761.443397
790.0,690,1827.860959
385.0,387,1862.214189
1275.0,803,1932.148907
1115.0,796,2001.511257
1510.0,905,2081.887007
920.0,684,2140.152709
1585.0,730,2207.592065
1450.0,969,2289.386281
425.0,496,2336.060007
575.0,503,2381.478691
885.0,627,2438.072182
435.0,631,2494.778607
655.0,757,2562.907584
280.0,439,2598.53994
860.0,700,2657.150194
1130.0,954,2746.617148
210.0,354,2780.06654
1305.0,919,2860.745072
80.0,344,2885.905555
505.0,651,2943.451781
1140.0,740,3011.585066
220.0,501,3057.491887
560.0,584,3105.863272
775.0,765,3174.967264
765.0,523,3221.22236
1110.0,700,3288.339933
850.0,775,3357.317633
900.0,701,3416.318366
890.0,1090,3519.545991
225.0,543,3566.514174
620.0,672,3625.096119
430.0,631,3682.353575
240.0,359,3716.101461
725.0,603,3764.602214
820.0,559,3811.792088
615.0,568,3867.302981
470.0,409,3902.372921
285.0,569,3949.87476
245.0,502,3995.421858
430.0,727,4062.928018
715.0,677,4121.484338
385.0,765,4190.506099
1075.0,912,4271.886754
680.0,712,4339.411026
225.0,573,4387.430201
470.0,669,4445.870362
1060.0,1019,4538.216746
985.0,823,4608.80424
690.0,1027,4702.469568
445.0,536,4748.97157
60.0,335,4781.943848
1095.0,699,4840.857239
270.0,424,4884.407444
885.0,834,4955.291747
240.0,421,4990.58938
620.0,737,5058.516916
620.0,652,5116.091235
735.0,475,5160.398191
900.0,635,5217.514866
170.0,523,5263.628118
140.0,655,5321.569205
930.0,693,5380.720893
180.0,460,5424.990031
890.0,769,5493.782171
765.0,503,5531.437725
435.0,522,5577.40429
400.0,538,5631.85399
825.0,549,5678.857398
470.0,467,5715.550401
815.0,906,5798.033767
470.0,480,5842.736328
580.0,640,5900.231723
615.0,842,5979.123235
255.0,523,6025.430634
535.0,542,6072.466546
365.0,593,6120.822335
110.0,484,6166.194999
65.0,418,6201.427592
300.0,401,6236.435019
525.0,424,6279.870608
395.0,581,6328.044996
295.0,650,6385.817463
800.0,1092,6487.644807
415.0,566,6535.10317
1035.0,808,6605.020251
245.0,502,6650.511196
575.0,553,6697.297529
1045.0,675,6755.700429
145.0,498,6801.029966
940.0,1076,6902.662544
570.0,581,6954.685067
425.0,629,7011.51004
445.0,599,7067.375231
125.0,447,7103.789958
960.0,898,7183.845695
935.0,764,7252.594488
640.0,483,7297.62509
630.0,908,7378.282855
175.0,643,7435.658276
745.0,522,7481.954311
385.0,628,7531.773276
1195.0,845,7610.364489
395.0,652,7668.245915
525.0,490,7713.450668
840.0,911,7794.552894
680.0,783,7864.054953
455.0,520,7910.420346
960.0,713,7969.686025
655.0,589,8025.74076
710.0,690,8084.278373
785.0,702,8152.266214
445.0,626,8200.856684
730.0,956,8290.219578
635.0,576,8337.901024
215.0,506,8383.323136
420.0,516,8429.05964
1090.0,714,8496.159631
890.0,835,8566.523891
525.0,602,8622.536068
975.0,1008,8713.782955
365.0,470,8750.678697
775.0,701,8817.683604
810.0,598,8866.001467
1150.0,904,8946.659618
415.0,509,8992.668128
290.0,566,9048.300708
175.0,419,9083.58619
520.0,648,9141.194723
670.0,816,9211.778458
535.0,662,9272.067392
390.0,559,9319.154968
895.0,699,9386.178906
1070.0,1102,9480.740936
910.0,682,9547.352348
810.0,537,9593.98805
615.0,1029,9686.034709
700.0,467,9722.848752
650.0,579,9778.270495
515.0,621,9835.022946
1170.0,825,9905.608102
515.0,494,9950.859505
415.0,486,9996.133905
340.0,590,10044.272414
1155.0,909,10125.000802
575.0,628,10182.072248
115.0,438,10218.01718
965.0,670,10276.407861
580.0,541,10330.956713
860.0,649,10388.507513
760.0,659,10447.718395
425.0,623,10504.90642
590.0,663,10563.102147
1085.0,1078,10656.828593
640.0,568,10704.322465
490.0,484,10749.194615
405.0,551,10796.199637
925.0,619,10852.887857
225.0,533,10899.392701
745.0,769,10968.461013
1035.0,900,11048.637953
1105.0,762,11117.16846
1065.0,1016,11208.877262
545.0,535,11255.305573
1480.0,956,11337.476458
1185.0,693,11404.015989
1420.0,812,11473.829714
1290.0,1103,11577.166606
820.0,706,11636.439998
800.0,669,11694.41244
430.0,585,11750.328525
945.0,1019,11841.778561
1010.0,747,11902.253442
1525.0,750,11970.604716
970.0,607,12026.994092
650.0,610,12083.553264
780.0,1020,12175.084394
905.0,644,12224.74332
1095.0,1085,12326.389611
810.0,967,12409.266674
230.0,484,12454.342891
975.0,906,12535.406183
1160.0,965,12626.147836
930.0,747,12686.763989
685.0,753,12756.994773
745.0,753,12825.720442
525.0,702,12885.006043
1015.0,740,12953.462893
285.0,440,12997.501072
815.0,763,13058.749118
790.0,694,13125.709463
390.0,706,13185.244934
1150.0,654,13243.01074
515.0,557,13297.984594
1005.0,937,13379.58847
805.0,758,13448.118416
1185.0,937,13530.303859
940.0,660,13588.464624
545.0,596,13644.313612
650.0,1081,13738.166116
1265.0,639,13795.822572
390.0,637,13853.079093
725.0,589,13902.722814
685.0,720,13970.377705
1200.0,617,14027.143708
365.0,536,14073.795671
335.0,386,14108.314833
700.0,591,14156.854266
720.0,762,14226.023268
590.0,639,14283.832344
820.0,1015,14375.897443
460.0,573,14423.669684
780.0,641,14481.217262
290.0,529,14527.592662
1000.0,658,14593.266597
1420.0,1029,14685.400007
1000.0,626,14734.551436
395.0,570,14790.13079
885.0,907,14870.646814
400.0,578,14918.70232
400.0,501,14964.148183
640.0,629,15022.523595
775.0,699,15081.437389
1025.0,1146,15184.151065
975.0,756,15252.744882
480.0,537,15299.219379
1220.0,806,15369.469059
1170.0,647,15427.054175
415.0,608,15483.741318
1080.0,1026,15575.772548
885.0,814,15646.046325
1205.0,1028,15738.375974
740.0,616,15795.098824
805.0,734,15863.280076
450.0,497,15908.358642
930.0,797,15978.258865
485.0,440,16014.425407
745.0,495,16059.874664
455.0,776,16128.946192
815.0,720,16189.771388
735.0,812,16267.515613
750.0,723,16327.181552
1125.0,716,16394.275414
580.0,547,16441.185279
1145.0,729,16508.717874
1430.0,850,16580.102353
460.0,619,16636.4788
890.0,759,16704.90285
890.0,723,16772.367373
885.0,547,16819.13483
885.0,652,16876.902467
785.0,690,16935.704118
325.0,713,17002.895397
560.0,497,17040.702945
535.0,712,17107.80986
680.0,964,17190.173351
200.0,438,17234.074758
990.0,757,17302.210767
250.0,423,17339.176231
615.0,505,17384.881259
960.0,826,17455.813014
220.0,470,17500.544997
140.0,472,17537.831596
500.0,512,17583.832805
775.0,642,17641.425859
595.0,614,17698.11161
275.0,465,17742.6692
135.0,436,17778.829509
550.0,726,17846.787315
785.0,681,17905.669479
615.0,661,17963.905957
645.0,599,18012.515255
565.0,504,18058.260008
665.0,805,18136.404415
855.0,955,18218.562325
635.0,626,18275.551768
935.0,975,18358.489349
505.0,716,18425.996094
1440.0,975,18510.184096
690.0,961,18600.195027
1260.0,712,18659.780797
560.0,798,18737.682826
220.0,473,18774.551078
690.0,533,18821.158295
300.0,588,18877.206654
380.0,618,18933.925077
445.0,613,18982.938149
1385.0,1009,19074.4319
1160.0,925,19155.907994
470.0,883,19236.449699
1275.0,898,19317.068745
630.0,612,19373.699934
730.0,767,19442.497919
840.0,778,19512.006959
1105.0,905,19592.928363
1055.0,776,19663.172912
760.0,632,19720.556235
1055.0,1089,19814.309607
1610.0,1140,19917.6073
1205.0,782,19987.089735
565.0,565,20034.556081
455.0,468,20078.957233
275.0,355,20112.521116
600.0,445,20148.443053
940.0,1019,20240.752837
925.0,908,20321.238006
720.0,578,20369.331226
1245.0,963,20459.627812
435.0,718,20519.281826
690.0,557,20574.761206
830.0,747,20643.518176
1010.0,647,20693.680122
290.0,526,20747.96062
325.0,529,20795.991022
855.0,688,20854.695424
160.0,583,20902.222616
770.0,841,20980.802077
1175.0,809,21050.776644
570.0,660,21108.694531
945.0,949,21198.405865
655.0,688,21257.06297
580.0,644,21314.697892
240.0,498,21360.011391
765.0,580,21408.147979
310.0,437,21451.903435
1310.0,700,21511.08242
480.0,541,21557.790766
1220.0,1000,21649.221761
465.0,570,21696.698045
795.0,615,21753.603458
1105.0,744,21822.192062
595.0,493,21867.623693
955.0,836,21938.546413
435.0,560,21987.170616
525.0,517,22033.016211
725.0,732,22101.163261
1350.0,914,22182.586383
265.0,356,22216.32056
1210.0,1137,22319.745659
775.0,983,22402.992395
1095.0,908,22484.127917
1055.0,583,22539.965828
1030.0,769,22609.084803
900.0,555,22656.560328
745.0,606,22713.33376
1005.0,683,22772.432618
140.0,385,22806.94327
1000.0,715,22867.030374
1145.0,971,22958.338416
770.0,517,23004.77399
760.0,907,23085.974175
1055.0,613,23144.407752
630.0,627,23193.988587
920.0,717,23261.892489
870.0,726,23329.697973
930.0,751,23390.466249
650.0,646,23448.230789
555.0,668,23514.393903
585.0,559,23561.645443
825.0,658,23619.954775
840.0,970,23703.224369
630.0,470,23748.124611
1005.0,760,23817.12534
500.0,781,23886.864948
605.0,569,23934.587645
330.0,532,23981.371391
315.0,564,24036.754939
1140.0,948,24119.356078
245.0,499,24165.106411
655.0,571,24212.702653
825.0,768,24283.169186
1035.0,1035,24375.976491
865.0,603,24432.56528
220.0,485,24478.010878
1320.0,1027,24570.806443
1265.0,894,24651.55751
845.0,747,24712.28829
920.0,729,24780.582259
1155.0,837,24851.731491
895.0,827,24930.47885
635.0,403,24965.48894
560.0,461,25001.927727
500.0,461,25046.663596
595.0,566,25094.619452
800.0,679,25161.070069
635.0,615,25210.162257
790.0,875,25290.356296
710.0,655,25348.197988
435.0,493,25393.849546
385.0,724,25463.861508
835.0,761,25525.463147
990.0,946,25615.674626
805.0,561,25663.393389
495.0,464,25708.068485
935.0,734,25768.289992
700.0,627,25825.66752
190.0,410,25860.512681
625.0,703,25927.738792
635.0,583,25975.924434
135.0,358,26009.59744
905.0,1029,26101.751297
1125.0,952,26184.150421
1220.0,745,26252.848586
495.0,549,26299.903829
315.0,541,26346.535807
900.0,626,26403.796386
685.0,719,26471.151413
300.0,354,26504.945478
970.0,719,26564.593409
380.0,433,26601.836228
455.0,474,26646.787552
1115.0,718,26714.406398
740.0,815,26785.055445
625.0,554,26831.955572
720.0,902,26913.00739
1260.0,1178,27017.217662
1105.0,715,27084.610478
530.0,493,27129.86937
870.0,639,27187.286951
930.0,735,27247.330554
645.0,588,27302.878243
435.0,426,27338.415787
730.0,577,27386.168929
225.0,346,27419.150554
390.0,471,27463.843256
825.0,913,27544.65351
555.0,657,27602.089234
990.0,834,27672.726199
625.0,652,27730.13656
340.0,421,27774.795343
650.0,623,27823.993347
700.0,581,27879.624931
515.0,628,27936.888367
180.0,377,27971.112032
740.0,1037,28063.45382
425.0,511,28109.472461
880.0,1097,28204.133965
765.0,656,28262.332484
355.0,520,28308.63222
450.0,580,28364.617949
405.0,420,28400.294197
600.0,520,28446.760769
100.0,349,28472.284861
730.0,614,28529.444221
275.0,352,28563.146253
685.0,727,28630.773174
340.0,440,28667.157682
945.0,763,28736.353413
530.0,581,28784.466479
200.0,579,28840.151091
880.0,844,28913.142448
530.0,511,28959.085371
585.0,692,29025.82935
670.0,566,29073.565718
640.0,598,29129.992472
440.0,576,29177.962622
315.0,566,29225.494009
295.0,585,29281.571928
535.0,545,29328.772224
470.0,1093,29422.869502
370.0,605,29479.424288
495.0,706,29546.677481
615.0,657,29604.675719
625.0,699,29664.075107
595.0,510,29709.948266
435.0,552,29757.167162
1040.0,995,29848.337485
495.0,456,29884.938778
680.0,603,29941.918016
690.0,746,30010.279145
655.0,575,30059.51721
525.0,498,30104.996616
1065.0,741,30173.030406
335.0,637,30230.839019
280.0,382,30266.029952
1115.0,767,30336.764453
280.0,513,30383.543241
315.0,597,30432.706522
600.0,775,30503.305489
1120.0,740,30572.585828
975.0,619,30630.602657
530.0,568,30679.013241
200.0,404,30714.66984
1060.0,808,30786.111185
260.0,438,30829.925154
700.0,547,30876.332463
785.0,817,30945.884967
545.0,711,31012.458454
485.0,1093,31105.626121
375.0,630,31162.405539
365.0,410,31197.014403
145.0,571,31253.507432
95.0,446,31289.334497
560.0,1093,31390.518938
980.0,831,31461.125499
195.0,348,31494.217863
645.0,612,31543.069341
805.0,829,31621.222613
585.0,493,31666.329371
210.0,452,31702.643794
310.0,374,31736.442013
415.0,657,31794.031712
485.0,774,31862.92201
480.0,426,31898.400419
525.0,558,31945.481807
870.0,1033,32037.379167
1105.0,706,32104.395557
875.0,968,32186.45268
370.0,394,32220.955973
220.0,417,32264.033676
315.0,531,32310.249372
965.0,1092,32405.338043
780.0,779,32474.411386
445.0,582,32529.991109
1190.0,893,32610.190042
325.0,676,32668.779633
500.0,605,32725.020836
265.0,450,32761.360875
1155.0,891,32841.787371
555.0,728,32901.718578
280.0,607,32958.085107
420.0,679,33016.339403
535.0,754,33084.834631
645.0,808,33154.685925
775.0,725,33222.16516
730.0,1032,33313.645732
390.0,532,33359.783803
745.0,1039,33451.837389
630.0,637,33508.809901
415.0,370,33544.075504
1140.0,689,33602.75941
565.0,620,33659.432973
555.0,844,33737.891407
435.0,525,33784.21357
730.0,567,33831.481581
745.0,787,33900.670066
625.0,601,33956.659292
550.0,820,34026.588462
860.0,1161,34129.612936
505.0,675,34187.795904
265.0,638,34244.794449
225.0,362,34278.218332
1090.0,659,34335.960777
825.0,812,34405.498964
630.0,486,34450.319167
725.0,700,34508.919069
400.0,427,34552.167373
1310.0,1003,34642.927272
250.0,628,34693.072365
805.0,671,34758.640221
745.0,803,34827.70564
695.0,1040,34919.279433
780.0,780,34988.089136
1420.0,1043,35080.013232
495.0,430,35115.336889
775.0,611,35171.416779
640.0,581,35218.99721
365.0,709,35285.889554
130.0,318,35310.336809
650.0,696,35376.897538
575.0,534,35423.233454
1035.0,1040,35515.452756
625.0,667,35573.393974
445.0,683,35631.65336
610.0,516,35677.661562
850.0,578,35733.100344
405.0,480,35770.071202
1035.0,825,35849.149751
420.0,496,35894.401639
440.0,515,35940.299531
510.0,554,35987.3075
940.0,911,36068.186492
880.0,908,36148.957892
785.0,532,36195.484021
875.0,941,36277.154131
565.0,786,36346.405513
560.0,503,36391.840868
700.0,685,36458.255049
295.0,339,36483.501971
1005.0,735,36551.380875
285.0,342,36576.674522
380.0,496,36622.101297
755.0,877,36701.955258
730.0,823,36772.344137
155.0,382,36806.735872
385.0,463,36851.291351
745.0,674,36910.050638
365.0,530,36956.46681
435.0,606,37014.332627
1290.0,656,37072.189897
775.0,822,37142.488676
610.0,588,37198.229711
955.0,796,37267.89317
575.0,541,37314.25344
710.0,764,37382.979432
625.0,596,37438.834315
590.0,819,37509.047605
560.0,759,37577.363801
615.0,656,37634.791815
400.0,536,37681.135919
360.0,465,37725.661496
460.0,463,37762.130878
530.0,523,37808.200385
265.0,378,37842.157228
415.0,568,37889.406322
505.0,682,37955.621152
670.0,545,38002.141916
520.0,424,38037.630853
630.0,427,38073.220942
645.0,1157,38177.891219
560.0,732,38245.334238
595.0,464,38289.390537
185.0,358,38315.181664
770.0,1024,38406.511762
855.0,1007,38497.220539
890.0,615,38553.39011
555.0,517,38599.035421
570.0,567,38645.879639
625.0,660,38703.463054
750.0,1081,38803.870546
340.0,673,38861.720089
730.0,575,38908.835827
1215.0,965,38998.318124
