#{"t_start": 1680424589.6954567, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
100.0,453,46.822765
90.0,588,94.045741
250.0,976,183.193627
140.0,904,263.052874
100.0,732,330.089658
235.0,1296,444.321154
110.0,610,492.50166
190.0,1041,584.327249
120.0,511,629.372849
340.0,1436,754.851143
110.0,513,799.809735
660.0,1544,935.769986
90.0,517,981.227267
40.0,227,1002.887576
205.0,1116,1096.269933
110.0,589,1151.414513
140.0,1098,1246.290167
220.0,1032,1337.469344
130.0,672,1403.001519
310.0,1398,1520.274494
235.0,1407,1645.523818
130.0,619,1701.700553
90.0,978,1791.116745
140.0,750,1850.586313
160.0,745,1917.751886
110.0,433,1952.827993
100.0,1061,2052.442819
235.0,2777,2293.778904
265.0,1518,2430.911683
235.0,991,2520.775624
110.0,701,2579.089429
325.0,1430,2704.260106
110.0,562,2750.951361
130.0,795,2819.567822
325.0,1545,2956.104986
220.0,1109,3057.725508
50.0,502,3103.068386
110.0,643,3160.339786
310.0,1266,3274.143561
130.0,697,3332.759854
120.0,524,3378.580832
175.0,825,3449.646646
235.0,1056,3541.723778
190.0,995,3632.179257
50.0,605,3688.000208
150.0,616,3736.564951
220.0,759,3804.657182
60.0,555,3859.368616
120.0,477,3896.18417
60.0,409,3930.581476
90.0,571,3985.55402
70.0,336,4010.448715
235.0,1972,4190.75095
120.0,1109,4284.481277
140.0,1780,4444.475672
130.0,1086,4537.918789
120.0,1028,4630.461961
355.0,1217,4742.17054
40.0,267,4765.102895
50.0,272,4788.006253
110.0,625,4844.160194
80.0,281,4867.335459
370.0,1184,4970.699151
235.0,729,5029.662817
175.0,980,5118.858644
40.0,265,5141.420691
280.0,1513,5276.52795
130.0,586,5324.163106
385.0,2809,5574.19044
110.0,791,5643.25695
175.0,636,5700.089875
70.0,321,5724.520344
90.0,589,5781.461963
265.0,1223,5885.483143
150.0,559,5939.916727
110.0,575,5986.764872
130.0,548,6032.644093
235.0,18309,7667.176756
190.0,1101,7768.235115
150.0,667,7825.894995
120.0,504,7862.873259
205.0,1023,7953.955215
190.0,719,8021.846444
175.0,2383,8228.979543
190.0,824,8306.515534
100.0,692,8364.654391
130.0,813,8434.029429
205.0,1323,8556.662016
110.0,840,8627.131826
80.0,525,8673.176147
265.0,886,8752.435123
130.0,643,8809.220683
140.0,559,8855.936917
190.0,883,8935.343967
325.0,1787,9095.330946
220.0,1040,9188.468631
250.0,1345,9304.058937
620.0,2634,9541.927172
780.0,1903,9703.99115
780.0,4118,10068.360101
250.0,1580,10214.102829
110.0,583,10261.507737
250.0,928,10343.460632
190.0,1671,10491.377224
280.0,3871,10833.163409
120.0,528,10878.860852
355.0,2382,11093.51221
220.0,5662,11598.204892
175.0,1437,11724.713097
100.0,709,11791.358764
235.0,1215,11895.345659
220.0,1313,12010.023193
205.0,1199,12113.570464
1000.0,8178,12845.8063
265.0,1997,13025.542168
110.0,533,13071.496078
220.0,765,13139.483758
310.0,1828,13300.359103
310.0,1539,13437.00168
400.0,1663,13585.006214
310.0,1291,13698.287168
120.0,805,13768.343866
250.0,1142,13870.115617
120.0,737,13929.663128
295.0,1753,14088.481346
420.0,1434,14214.381827
310.0,1364,14339.268106
370.0,2161,14525.389132
1160.0,2224,14728.991327
250.0,1560,14866.466002
680.0,1974,15040.495841
400.0,1467,15167.17417
820.0,1620,15313.896114
235.0,983,15396.443669
860.0,2500,15623.018267
370.0,1400,15748.292603
175.0,887,15820.030799
370.0,1673,15967.986286
1140.0,2054,16151.198028
310.0,1648,16298.525085
780.0,2064,16481.246408
140.0,724,16548.270566
460.0,1436,16674.57255
150.0,866,16745.575743
325.0,1121,16847.280087
660.0,1445,16973.678173
370.0,1736,17131.731807
460.0,2872,17385.863642
540.0,1711,17535.892482
920.0,2128,17728.034276
420.0,1348,17843.27825
385.0,1323,17958.080178
980.0,2206,18152.22625
