#{"t_start": 1680424590.7403636, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
40.0,315,34.408668
90.0,1268,146.973366
110.0,782,215.425328
235.0,1282,329.288495
60.0,407,363.900373
205.0,1161,466.688618
130.0,579,514.058992
60.0,285,537.360179
70.0,423,580.298298
160.0,931,660.528143
70.0,492,697.296872
325.0,1802,856.380441
340.0,1203,967.280889
190.0,1054,1058.76402
340.0,1119,1152.125381
150.0,810,1230.66274
310.0,1419,1356.323401
370.0,1202,1460.556311
250.0,983,1550.286416
90.0,374,1576.418019
280.0,2158,1769.314152
235.0,908,1848.631768
310.0,1314,1962.525836
280.0,1395,2087.049535
265.0,1381,2210.911522
400.0,2882,2464.360542
205.0,1261,2577.496696
190.0,979,2659.025894
220.0,910,2738.756219
130.0,771,2806.76334
40.0,190,2827.263815
175.0,1327,2942.208676
70.0,458,2986.165054
175.0,990,3068.625407
220.0,943,3150.272504
150.0,853,3228.918206
100.0,491,3273.812457
140.0,801,3343.239992
90.0,731,3410.254593
310.0,1098,3504.9712
190.0,1009,3595.764956
90.0,575,3643.125917
130.0,1311,3758.096447
100.0,593,3813.688658
110.0,627,3870.391792
110.0,742,3930.050944
50.0,465,3974.318141
100.0,550,4020.794603
150.0,1111,4122.059923
80.0,2359,4329.606903
295.0,2292,4535.458616
90.0,570,4582.828068
80.0,548,4638.095084
80.0,372,4663.997337
220.0,1584,4809.524893
30.0,288,4832.753236
80.0,502,4877.829777
30.0,202,4891.214031
175.0,944,4971.93355
420.0,1632,5118.387389
110.0,640,5174.784562
205.0,836,5244.477492
110.0,548,5298.5178
235.0,1005,5381.274226
340.0,1308,5495.630606
190.0,898,5575.020283
130.0,474,5619.464062
70.0,273,5642.54174
100.0,666,5700.234651
70.0,403,5736.16204
120.0,21669,7667.523914
60.0,455,7711.302001
140.0,712,7770.415652
540.0,2059,7952.756909
440.0,1465,8088.385192
160.0,927,8168.759205
130.0,867,8239.722601
325.0,819,8316.944173
90.0,558,8363.485763
100.0,2626,8593.250831
110.0,877,8672.714051
80.0,645,8729.70182
