#{"t_start": 1680424586.532257, "env_id": "RiverraidNoFrameskip-v4"}
r,l,t
1300.0,650,54.076976
1540.0,662,119.195761
1530.0,653,177.941392
2210.0,737,239.965719
1760.0,544,287.96927
1920.0,616,346.757939
2920.0,865,429.921713
1500.0,498,477.302107
1580.0,589,527.567281
1590.0,603,586.789798
2400.0,649,646.747443
1470.0,510,694.57518
1500.0,492,733.659869
1210.0,483,780.874571
1460.0,472,827.70853
1980.0,652,888.185035
1400.0,480,926.833146
1600.0,681,996.937814
1120.0,455,1034.84914
2570.0,693,1096.561301
2340.0,677,1166.234651
2570.0,853,1242.528754
1570.0,510,1290.256281
1520.0,477,1337.144145
1410.0,493,1376.58137
2290.0,591,1435.631343
1400.0,493,1482.959592
1960.0,694,1544.803698
2040.0,712,1615.809384
2310.0,662,1676.644781
2030.0,658,1737.628614
1560.0,564,1787.340251
2390.0,701,1849.710607
1570.0,533,1906.74304
1810.0,589,1957.055829
2100.0,622,2017.070464
2090.0,613,2076.776384
1950.0,612,2128.120342
2070.0,641,2188.536851
2320.0,683,2250.217005
2150.0,635,2310.925507
2370.0,705,2381.701164
1950.0,579,2433.048363
2510.0,781,2506.185178
1840.0,552,2555.549818
2540.0,667,2616.87164
2000.0,584,2675.298371
1920.0,498,2723.287679
2340.0,656,2783.972224
3030.0,661,2845.0577
2840.0,708,2907.646203
1990.0,497,2955.374019
1680.0,519,3004.142572
1670.0,497,3052.156653
2080.0,708,3114.772925
1770.0,604,3174.027163
1820.0,584,3224.505943
1600.0,453,3270.707008
1580.0,499,3318.277351
1590.0,496,3366.100263
1650.0,413,3403.101757
1880.0,494,3442.886788
2410.0,653,3503.581997
2420.0,648,3564.230916
1670.0,452,3610.961541
2260.0,782,3685.99197
3060.0,773,3758.505897
2090.0,676,3820.122956
1470.0,426,3858.029491
1960.0,559,3916.030354
1590.0,501,3955.371863
1860.0,658,4016.540022
2330.0,693,4087.507482
2220.0,710,4150.111613
1900.0,593,4209.672216
1670.0,453,4247.894572
1670.0,592,4306.945939
1690.0,588,4357.450129
1940.0,622,4416.992792
2140.0,585,4476.343777
1480.0,407,4512.844406
2580.0,694,4574.748861
2190.0,598,4634.514151
1920.0,608,4685.461788
2260.0,570,4743.758483
1880.0,528,4792.528713
1500.0,409,4829.308011
1720.0,496,4878.136162
1760.0,512,4917.8211
1780.0,500,4965.80557
2230.0,588,5024.676295
1980.0,618,5076.192792
1730.0,485,5123.394826
2100.0,683,5185.211214
2180.0,674,5255.007859
2130.0,666,5316.076708
1520.0,498,5363.88827
2290.0,697,5425.864458
1590.0,504,5474.057594
2060.0,716,5536.810221
2420.0,726,5608.564255
2140.0,651,5669.522713
2220.0,710,5731.830137
2650.0,810,5813.661528
2310.0,811,5888.004109
2050.0,593,5938.559317
2420.0,711,6009.549846
2140.0,634,6070.07546
2370.0,705,6134.513146
2230.0,609,6194.39273
2160.0,650,6255.399551
1870.0,518,6303.792014
1800.0,502,6351.830542
1780.0,521,6400.55684
1850.0,517,6449.303971
1730.0,527,6497.867547
1990.0,589,6548.68115
1810.0,478,6595.967983
2110.0,624,6647.597524
1800.0,527,6704.397922
2100.0,654,6765.534012
2450.0,700,6827.8117
1800.0,501,6875.397537
2680.0,620,6935.307706
2260.0,588,6985.988234
2200.0,620,7046.01212
2390.0,624,7106.314513
2290.0,734,7169.985922
2370.0,715,7240.864173
1840.0,516,7289.506308
2050.0,595,7341.215173
2020.0,510,7389.299467
2100.0,647,7450.281408
2430.0,686,7512.359504
1660.0,505,7560.338341
1770.0,522,7608.546335
2430.0,620,7668.270228
1840.0,588,7719.156989
2190.0,526,7776.167652
2090.0,550,7825.418949
2260.0,570,7875.522642
2880.0,803,7949.228254
1940.0,455,7995.853231
1930.0,534,8045.398354
1930.0,525,8094.001024
2480.0,578,8144.207384
1830.0,585,8203.284771
1950.0,534,8252.30765
2680.0,712,8315.483248
2290.0,585,8374.660619
2150.0,594,8425.92816
2170.0,576,8484.112971
1910.0,473,8523.996668
2230.0,571,8582.225205
2470.0,713,8644.92698
1850.0,540,8694.080216
2510.0,770,8766.85253
2310.0,657,8827.673706
1720.0,489,8875.038371
2360.0,619,8935.197773
2400.0,601,8986.208142
2530.0,568,9044.655328
1980.0,641,9105.341727
1610.0,449,9143.81349
2970.0,778,9216.717359
2640.0,631,9276.849099
1670.0,505,9325.189441
2040.0,561,9375.454897
1920.0,489,9423.036015
1830.0,558,9472.720016
2050.0,601,9532.271732
2130.0,556,9582.331945
1800.0,592,9641.410113
2150.0,584,9691.922907
2190.0,627,9752.895228
1920.0,587,9803.402492
2390.0,561,9861.305602
1750.0,506,9909.592735
2330.0,647,9962.156352
1940.0,507,10010.718936
1910.0,656,10072.061211
1950.0,689,10142.791077
2170.0,662,10204.144175
1810.0,566,10254.005718
2030.0,585,10312.645212
2030.0,627,10364.468094
2010.0,515,10412.847425
1930.0,580,10471.787903
2300.0,592,10522.584687
1960.0,605,10582.096237
1750.0,504,10630.362033
2150.0,572,10680.414607
2360.0,777,10754.03557
2030.0,517,10802.827461
2140.0,671,10864.340437
1830.0,498,10912.148935
2200.0,561,10963.127617
1690.0,458,11009.396189
1730.0,508,11058.515228
2150.0,649,11119.300638
2370.0,786,11192.931103
2480.0,650,11253.997133
1770.0,551,11303.907602
2670.0,658,11364.990562
1520.0,424,11402.68591
2350.0,628,11462.834893
2140.0,621,11522.799479
2830.0,865,11606.939158
2930.0,806,11680.650976
2400.0,665,11742.026468
2200.0,717,11804.721681
2430.0,630,11865.416969
2570.0,734,11937.457404
2090.0,528,11986.122448
1720.0,467,12024.784267
2380.0,696,12095.022991
2500.0,781,12167.993376
2230.0,607,12228.140412
1610.0,451,12266.649791
2660.0,744,12338.828816
2110.0,638,12399.595368
1530.0,422,12436.971926
2370.0,624,12497.276466
2040.0,529,12546.161468
1720.0,479,12585.066964
2310.0,579,12643.734809
2680.0,752,12707.548726
2260.0,590,12766.505371
2750.0,646,12827.164344
2060.0,565,12877.37616
2290.0,599,12936.4516
2340.0,696,12998.787334
2160.0,551,13048.466274
2580.0,618,13108.589967
2000.0,582,13167.412616
2440.0,592,13218.092084
2730.0,776,13290.969287
2740.0,771,13363.651165
2040.0,540,13413.936556
1640.0,495,13462.101397
1990.0,582,13521.422686
2350.0,576,13571.606086
2560.0,725,13634.979077
2160.0,710,13705.979523
1770.0,516,13754.513048
1460.0,413,13791.936575
2760.0,798,13866.06917
1490.0,424,13903.185418
1640.0,530,13951.917478
2630.0,731,14023.184865
2300.0,598,14083.152027
1920.0,517,14131.780968
1980.0,526,14180.590615
2890.0,901,14265.59068
2080.0,598,14317.231596
1490.0,429,14354.519377
2420.0,757,14426.98769
2550.0,583,14485.631143
2090.0,554,14535.989948
1840.0,549,14585.523336
2320.0,743,14658.717672
2500.0,697,14721.295126
2660.0,695,14791.589808
2650.0,686,14853.749758
2200.0,625,14913.970342
2960.0,803,14987.678791
2400.0,647,15048.830398
2920.0,827,15123.450347
2640.0,721,15194.439311
1950.0,513,15242.766231
2290.0,730,15305.977272
2170.0,626,15366.553469
2340.0,695,15429.141448
2060.0,633,15489.674367
1830.0,502,15537.75415
2460.0,741,15609.758039
2090.0,621,15669.839694
1520.0,424,15707.600615
1890.0,578,15757.638871
2650.0,771,15830.422913
1890.0,524,15879.944933
2060.0,535,15929.011807
3160.0,903,16014.666804
2890.0,674,16076.190813
2190.0,581,16134.872941
3160.0,837,16209.729525
1780.0,513,16258.082003
2670.0,653,16318.884901
1890.0,597,16378.100284
2120.0,530,16427.219754
1960.0,522,16475.655634
3100.0,737,16547.396083
2960.0,746,16611.215643
2170.0,650,16672.382955
2090.0,668,16734.096504
1500.0,457,16780.85492
2670.0,700,16843.269853
3200.0,862,16926.72071
2000.0,572,16977.224233
1890.0,549,17035.061116
2290.0,702,17098.645214
2640.0,725,17170.327634
2960.0,816,17244.300939
2120.0,625,17304.520921
2450.0,591,17355.437106
2060.0,596,17415.18363
3190.0,825,17490.278049
2570.0,653,17551.274074
2380.0,645,17612.095424
2810.0,722,17683.61091
2390.0,586,17734.760829
2550.0,729,17806.652483
2510.0,748,17871.396403
2750.0,705,17943.086134
2040.0,652,18004.074904
2060.0,587,18054.773622
2730.0,720,18126.462782
1590.0,429,18164.810395
3060.0,820,18247.354307
2220.0,610,18299.51836
2610.0,738,18371.433276
2740.0,683,18433.457298
2530.0,670,18494.933252
2270.0,720,18566.48617
2090.0,609,18626.10846
2150.0,651,18687.014409
1430.0,407,18723.961266
2970.0,769,18797.457022
2170.0,640,18849.464337
1980.0,589,18908.341961
2570.0,682,18970.131248
2560.0,673,19032.300042
2740.0,813,19114.616655
1900.0,529,19163.652624
2360.0,619,19215.408286
2030.0,604,19275.111301
2360.0,696,19337.06935
2230.0,595,19396.584071
1660.0,502,19444.807795
2500.0,590,19495.925676
2700.0,609,19556.547946
2510.0,816,19630.906626
2470.0,579,19689.773949
2170.0,612,19741.131009
2340.0,706,19812.271317
1920.0,585,19863.115876
1970.0,570,19921.921434
2120.0,608,19973.274001
2370.0,708,20044.30237
2200.0,590,20095.15211
1920.0,511,20143.756716
1740.0,588,20202.708327
1870.0,573,20252.97088
2100.0,647,20313.940426
2190.0,604,20373.752449
1890.0,633,20434.827021
2090.0,591,20485.735289
1750.0,576,20544.604728
1940.0,588,20595.281686
2170.0,676,20657.115514
2170.0,636,20717.599725
2600.0,685,20781.007982
3010.0,810,20863.720015
2360.0,606,20915.271802
2540.0,671,20977.084603
2870.0,766,21049.697047
2210.0,574,21108.500021
2340.0,699,21171.120662
1910.0,600,21230.75196
1800.0,543,21280.339111
2250.0,672,21342.026096
1970.0,591,21401.187393
2100.0,543,21450.622817
2580.0,634,21511.129395
2010.0,540,21560.505485
1740.0,547,21610.567046
2760.0,662,21671.965353
2140.0,637,21732.503208
2590.0,669,21794.143932
2850.0,824,21868.578451
2230.0,641,21929.493276
2130.0,606,21990.361138
2130.0,578,22040.815959
2280.0,686,22111.270316
1910.0,582,22161.862607
2120.0,603,22221.08682
2090.0,596,22272.08037
2260.0,658,22332.873765
1380.0,450,22379.778408
2690.0,725,22442.83568
2120.0,638,22503.397266
1610.0,519,22551.935964
2280.0,694,22622.585477
2830.0,710,22685.252466
1890.0,584,22744.780316
2810.0,709,22807.147973
2790.0,671,22868.95949
2260.0,623,22929.255054
1990.0,596,22980.206657
2280.0,708,23051.307576
2010.0,566,23101.551541
2270.0,665,23162.817069
2340.0,746,23235.950579
2580.0,638,23296.209222
2940.0,754,23368.74521
1720.0,483,23416.320049
2460.0,730,23479.468153
1950.0,570,23529.828859
2140.0,660,23599.621577
1780.0,584,23650.144029
1710.0,482,23697.76483
2050.0,644,23758.205224
3230.0,1003,23846.79251
3170.0,916,23932.65581
2260.0,730,24004.400454
2050.0,654,24066.076572
1830.0,525,24115.350372
2430.0,684,24176.894119
1660.0,477,24224.684499
2630.0,808,24298.761421
2000.0,581,24357.313728
1980.0,572,24408.632563
2030.0,646,24469.373678
1690.0,486,24517.051274
2420.0,748,24589.817451
1810.0,538,24638.930974
2200.0,718,24701.963625
2340.0,715,24773.21435
2460.0,749,24837.292198
2150.0,588,24896.163906
2960.0,793,24969.302361
2670.0,688,25031.289364
2400.0,629,25091.685272
2860.0,790,25165.337337
2350.0,726,25236.73518
1860.0,535,25286.205016
1880.0,570,25336.656392
2660.0,832,25419.785163
1810.0,532,25468.565353
2510.0,747,25541.136892
2120.0,588,25591.778974
2650.0,792,25666.139207
2360.0,652,25727.140956
3520.0,1067,25826.116454
2660.0,779,25899.121969
2070.0,711,25970.769175
2130.0,712,26033.979261
2250.0,713,26105.237312
2960.0,949,26191.942558
2200.0,581,26251.499102
2340.0,678,26313.307531
2430.0,688,26375.627302
2810.0,961,26471.397957
3080.0,954,26557.946337
2220.0,655,26619.071411
3040.0,986,26715.33141
2500.0,799,26789.269451
3340.0,855,26865.596654
2690.0,880,26950.270386
2210.0,599,27009.754751
2710.0,715,27072.836629
1430.0,501,27120.916865
2180.0,621,27181.216089
2770.0,888,27266.376642
2150.0,546,27315.910067
2270.0,717,27378.870365
1890.0,579,27437.514945
2410.0,599,27488.680186
2640.0,744,27561.625451
1780.0,501,27609.83472
1890.0,528,27658.943785
1830.0,539,27708.743733
2450.0,663,27770.429311
2060.0,587,27829.40094
2570.0,737,27893.295337
2760.0,845,27976.427277
2310.0,685,28038.836476
1630.0,486,28087.548578
2560.0,748,28160.15739
1300.0,424,28197.540385
2610.0,642,28258.27213
2420.0,673,28320.005826
2910.0,857,28403.675367
1970.0,590,28454.580701
1940.0,630,28514.939966
2510.0,771,28587.613091
2440.0,764,28660.357354
2200.0,583,28710.948083
2060.0,687,28773.600263
2310.0,610,28833.244254
2280.0,679,28894.909125
2640.0,817,28977.918243
2820.0,801,29052.374412
2150.0,682,29114.506803
2090.0,602,29174.435403
2110.0,664,29235.568104
2400.0,676,29298.167416
2110.0,682,29360.181477
2320.0,640,29420.744842
2400.0,660,29481.700953
2230.0,677,29543.937148
1840.0,519,29592.581139
2490.0,752,29665.283181
2210.0,590,29725.210415
2450.0,773,29798.176818
2530.0,781,29871.656156
2100.0,620,29923.30759
2200.0,656,29984.589542
1830.0,584,30043.574917
2180.0,603,30102.962684
2860.0,734,30166.575493
2370.0,700,30236.892377
2190.0,664,30298.258551
2090.0,598,30349.427267
2980.0,881,30434.327902
1800.0,586,30493.614166
1970.0,665,30555.701187
1680.0,502,30603.624364
2120.0,596,30654.687834
2610.0,753,30727.057892
2340.0,711,30790.183706
2660.0,769,30863.34383
3070.0,872,30947.423632
2630.0,760,31020.028879
2210.0,590,31070.508692
2740.0,835,31154.050207
2260.0,670,31215.780313
1690.0,494,31263.814618
1920.0,531,31312.755825
2110.0,675,31374.629656
2620.0,780,31448.000485
2350.0,700,31510.122207
2060.0,553,31568.170767
2800.0,810,31642.446202
2640.0,801,31716.563033
2460.0,713,31788.748625
2260.0,643,31841.261539
2380.0,751,31913.54311
2720.0,741,31985.605191
2770.0,886,32070.079714
2210.0,592,32120.642304
1830.0,630,32181.668931
2430.0,814,32255.811156
2480.0,847,32339.360197
2520.0,815,32413.652541
2830.0,844,32496.762633
