#{"t_start": 1680424586.8732166, "env_id": "RiverraidNoFrameskip-v4"}
r,l,t
1190.0,665,61.825017
1380.0,737,121.52397
1260.0,560,177.495884
1490.0,564,226.351135
1710.0,600,276.133968
1580.0,646,335.633816
1850.0,716,405.9256
2410.0,709,467.922413
1510.0,670,537.259918
2200.0,699,599.243963
2070.0,637,658.708372
1480.0,472,697.200624
1370.0,475,743.946534
1250.0,468,790.726192
2340.0,695,852.537821
1920.0,670,913.448219
1320.0,548,962.674455
2470.0,924,1047.995974
1360.0,648,1108.324835
1660.0,546,1165.845867
1060.0,563,1217.370033
1340.0,489,1264.13446
1260.0,492,1303.180704
2270.0,692,1373.264594
1400.0,490,1412.42131
1360.0,502,1460.545429
1270.0,484,1507.667268
1970.0,614,1567.506122
1410.0,470,1605.964115
1580.0,535,1654.711017
2080.0,648,1715.401481
1610.0,514,1763.477057
1690.0,541,1812.741766
2190.0,695,1883.246715
1880.0,593,1933.725971
1670.0,582,1992.336915
3660.0,1037,2089.614478
2010.0,672,2150.924106
2090.0,586,2201.438461
2090.0,633,2262.015564
2110.0,663,2323.190632
1920.0,615,2383.097491
2200.0,613,2443.478943
2620.0,706,2506.34979
1720.0,583,2564.901799
1840.0,485,2604.049174
2510.0,752,2675.948598
3300.0,789,2749.052206
2290.0,643,2809.527466
2850.0,821,2892.127563
1760.0,583,2942.63694
2210.0,630,3002.914795
2340.0,789,3076.75634
1610.0,500,3124.417241
1690.0,535,3173.25991
2190.0,596,3224.088811
1610.0,496,3271.583883
1770.0,584,3329.948034
1470.0,499,3377.896092
1760.0,502,3417.835001
2860.0,715,3488.929814
1770.0,527,3537.84552
2120.0,703,3599.989191
2570.0,693,3672.368705
1580.0,496,3711.744369
2490.0,648,3772.396741
2170.0,535,3821.527759
1720.0,510,3870.192542
1790.0,507,3918.370602
1780.0,522,3966.784591
1680.0,555,4016.415715
2170.0,710,4087.89352
2090.0,701,4150.225828
2210.0,643,4211.268601
1420.0,501,4259.185066
1490.0,448,4305.692012
1930.0,669,4366.839048
1560.0,497,4406.067596
1810.0,572,4464.919651
1900.0,495,4512.504733
1890.0,451,4550.619936
2440.0,605,4609.987253
2570.0,676,4671.737763
2210.0,684,4733.617531
1580.0,441,4779.468244
2910.0,731,4842.627784
1690.0,449,4890.018062
2630.0,693,4951.940871
2490.0,781,5024.928482
1940.0,588,5075.517011
1940.0,526,5123.97064
1750.0,541,5181.564774
1930.0,663,5242.700905
1620.0,506,5290.703668
1700.0,524,5339.202268
1550.0,452,5377.354507
2090.0,564,5427.080902
2010.0,603,5486.449508
2160.0,666,5547.729461
2250.0,709,5619.205917
1780.0,531,5668.052605
2260.0,709,5730.341028
2430.0,728,5801.41199
2400.0,730,5864.607997
1950.0,474,5912.133672
2210.0,560,5961.757238
1930.0,572,6020.255663
1900.0,546,6069.809689
2040.0,530,6120.674102
2060.0,630,6180.857792
2140.0,603,6232.028288
2320.0,651,6293.26489
2680.0,748,6365.376982
1780.0,500,6413.321483
2350.0,667,6474.769622
1890.0,587,6525.27949
2100.0,594,6584.583943
2070.0,610,6644.062686
2320.0,674,6705.260242
2190.0,700,6767.76384
2010.0,659,6828.826481
2210.0,566,6886.538601
2480.0,734,6949.919848
1630.0,504,6998.330713
1950.0,566,7048.195259
2050.0,531,7105.737064
3030.0,696,7168.267996
1490.0,430,7205.84072
2110.0,574,7264.280032
2340.0,713,7328.113349
1780.0,554,7377.219265
2170.0,600,7436.857344
1640.0,437,7474.87069
2380.0,683,7536.66504
1950.0,579,7594.857651
1800.0,523,7643.395588
2690.0,683,7705.325351
2160.0,582,7763.866089
2090.0,570,7813.883329
1900.0,540,7862.939118
2110.0,592,7922.046112
2570.0,819,7996.288305
2060.0,596,8056.05287
2960.0,778,8128.907266
1780.0,509,8168.831687
2170.0,604,8228.466973
1860.0,596,8287.915725
1870.0,518,8336.764071
2070.0,582,8387.458013
1870.0,504,8435.763387
2400.0,857,8510.819653
2340.0,592,8570.570803
2150.0,534,8619.784512
2250.0,663,8680.97569
2170.0,578,8739.444045
2300.0,553,8788.86416
1920.0,642,8849.360822
2190.0,574,8899.506888
2230.0,574,8958.290994
2960.0,900,9043.342124
2470.0,779,9116.443455
1830.0,558,9166.626223
1850.0,527,9215.258481
2360.0,739,9286.947879
2010.0,585,9337.668773
2610.0,723,9409.377106
1980.0,586,9459.90211
2780.0,816,9534.190634
1520.0,391,9571.090377
2120.0,648,9631.694152
2530.0,793,9705.132818
1740.0,489,9753.724955
1750.0,473,9800.821427
2500.0,714,9863.36128
2010.0,638,9923.887828
2550.0,816,9998.491333
2290.0,684,10069.092246
1690.0,507,10117.390851
2220.0,815,10191.921691
2510.0,746,10263.872422
2160.0,598,10314.619001
2350.0,739,10386.462638
1750.0,507,10434.547315
2050.0,517,10483.148314
2370.0,749,10547.410895
1860.0,488,10594.839952
2150.0,646,10655.407504
1810.0,531,10704.662787
2260.0,708,10776.07407
1850.0,616,10827.827349
1860.0,587,10886.68953
1880.0,502,10934.627444
1950.0,585,10985.999587
2400.0,769,11059.575647
3000.0,805,11133.409578
2270.0,595,11192.933189
3000.0,677,11254.809121
1750.0,469,11302.242244
2150.0,515,11350.670268
1920.0,462,11389.558442
3230.0,839,11472.734203
2080.0,608,11523.915748
2080.0,600,11583.192935
2180.0,607,11642.808879
2460.0,662,11704.190241
2030.0,621,11755.670671
2420.0,721,11827.108558
2860.0,749,11899.651386
2260.0,580,11950.37606
2010.0,650,12010.812122
2790.0,736,12082.278461
2680.0,762,12154.777103
1830.0,550,12204.957873
2270.0,703,12267.587439
1690.0,465,12314.910063
1390.0,411,12351.707392
1860.0,501,12400.07076
2900.0,669,12461.768091
2760.0,752,12534.030621
1880.0,565,12583.824695
1770.0,505,12631.82215
2470.0,703,12694.30333
1660.0,450,12740.683807
2360.0,525,12789.367495
1940.0,629,12849.860699
2230.0,619,12901.35815
1980.0,479,12948.504567
2580.0,789,13022.066713
2170.0,536,13071.181024
2130.0,606,13130.914586
2350.0,604,13182.257903
3040.0,699,13252.596817
2500.0,599,13303.68664
2340.0,647,13364.284227
2740.0,717,13436.728294
2390.0,678,13498.725656
1690.0,452,13545.481714
2280.0,664,13607.276343
1460.0,411,13643.880038
1640.0,510,13692.439351
2610.0,737,13755.854415
2310.0,593,13815.554799
2060.0,526,13864.670615
2490.0,673,13925.920687
2360.0,856,14009.29829
2140.0,588,14059.720599
2130.0,606,14119.94617
2360.0,650,14180.950415
2030.0,571,14231.070321
2480.0,610,14290.91637
1770.0,488,14338.787799
2420.0,619,14390.352312
2010.0,530,14439.472949
1940.0,608,14498.820292
2100.0,560,14549.189987
2650.0,772,14623.356161
3050.0,868,14707.519776
3030.0,790,14781.0179
2260.0,681,14843.041617
2260.0,685,14913.254586
2930.0,751,14977.120252
2110.0,598,15036.66666
2030.0,570,15086.720989
1790.0,580,15145.72852
2470.0,635,15205.796769
2230.0,718,15268.545559
2030.0,533,15317.993675
1740.0,487,15365.657746
1950.0,517,15414.716391
1550.0,448,15452.704556
2370.0,713,15523.910723
1970.0,592,15574.830959
1620.0,406,15611.655483
2730.0,712,15683.015539
3490.0,815,15757.012861
2300.0,695,15827.508885
1950.0,564,15878.233986
2800.0,769,15951.002811
1720.0,455,15989.383277
2480.0,678,16051.438452
2030.0,562,16109.564857
2520.0,826,16184.163567
1990.0,651,16244.990963
3200.0,710,16315.816854
1680.0,488,16355.137643
1920.0,482,16402.864342
2200.0,662,16463.833776
2840.0,688,16525.675704
3660.0,881,16610.243942
2170.0,597,16669.818775
1980.0,562,16719.765249
2280.0,721,16791.413323
1770.0,529,16840.326632
2580.0,719,16902.900809
2290.0,713,16974.211956
2230.0,605,17025.445962
2790.0,843,17109.864337
1860.0,573,17160.126161
1490.0,425,17197.832373
2090.0,613,17257.388241
2480.0,729,17329.141777
2850.0,761,17402.032989
2490.0,726,17465.614003
2250.0,653,17527.064355
2730.0,737,17598.81835
1640.0,447,17636.807769
1970.0,578,17695.775202
2790.0,701,17758.639053
2110.0,604,17818.48044
2880.0,792,17893.250983
1730.0,536,17942.923919
2120.0,590,17993.586961
2710.0,672,18063.610833
2630.0,601,18115.088499
3240.0,833,18198.707004
2840.0,812,18272.795121
2540.0,730,18345.420233
1970.0,582,18396.037749
2350.0,702,18458.522025
1790.0,636,18518.89693
1610.0,500,18567.210262
2440.0,693,18629.337834
2450.0,653,18690.237111
1870.0,514,18738.804266
1800.0,618,18799.451837
1750.0,504,18847.354901
