#{"t_start": 1680424590.4984574, "env_id": "AssaultNoFrameskip-v4"}
r,l,t
252.0,690,66.494866
315.0,601,114.235126
273.0,636,170.991096
189.0,563,225.712534
357.0,721,284.828895
189.0,636,341.562185
231.0,588,396.775685
210.0,675,454.492703
378.0,928,535.152659
189.0,484,579.763124
357.0,760,639.670196
399.0,546,693.505322
294.0,669,750.803524
231.0,815,820.078182
546.0,1046,911.100552
483.0,732,978.087956
189.0,570,1025.012097
420.0,878,1104.288153
483.0,866,1184.547934
462.0,801,1253.928722
378.0,801,1323.204589
189.0,454,1359.068598
399.0,712,1426.020911
336.0,850,1496.783864
378.0,734,1564.384225
273.0,669,1622.192841
378.0,808,1691.509284
336.0,473,1735.810028
399.0,816,1805.274905
378.0,685,1871.060943
441.0,680,1928.959496
189.0,541,1974.833733
378.0,791,2043.784698
189.0,389,2077.845835
546.0,1019,2168.096891
357.0,704,2226.639174
462.0,643,2283.271712
462.0,883,2364.185399
399.0,698,2422.757677
273.0,673,2488.363328
441.0,799,2557.9079
462.0,747,2617.819868
525.0,649,2675.030654
546.0,739,2742.415984
420.0,755,2810.152883
462.0,764,2878.307698
420.0,631,2934.985637
336.0,476,2971.896859
357.0,706,3038.652699
525.0,674,3096.881499
441.0,593,3144.926429
378.0,595,3200.972565
336.0,595,3256.936806
357.0,628,3306.015257
399.0,783,3375.237369
441.0,650,3432.525255
210.0,483,3479.11895
378.0,501,3524.396915
357.0,541,3570.828015
315.0,474,3615.682858
483.0,700,3674.643582
399.0,782,3743.694344
399.0,779,3812.655777
420.0,696,3871.5249
462.0,742,3939.015758
210.0,365,3972.700603
189.0,477,4017.231363
420.0,635,4066.238902
336.0,601,4122.118464
336.0,604,4178.096895
231.0,447,4214.162357
378.0,585,4269.720404
399.0,559,4316.959973
315.0,587,4364.760313
420.0,712,4431.865359
336.0,645,4489.32218
294.0,508,4534.973079
588.0,1010,4628.214862
420.0,605,4676.365931
399.0,602,4732.037705
399.0,608,4780.50654
252.0,513,4825.900431
504.0,866,4905.079151
210.0,391,4939.55733
357.0,611,4995.629552
420.0,724,5055.196806
462.0,689,5121.158788
252.0,436,5156.478753
294.0,480,5201.273397
210.0,494,5238.594638
357.0,506,5283.830068
336.0,672,5341.470146
189.0,322,5374.001051
273.0,477,5410.692433
273.0,433,5453.423862
504.0,710,5512.13585
378.0,628,5568.395818
399.0,525,5614.020415
378.0,610,5669.736635
315.0,517,5715.306922
273.0,371,5741.215714
588.0,735,5810.017825
441.0,738,5877.508638
462.0,693,5936.108031
399.0,652,5993.410477
378.0,654,6050.790753
567.0,653,6108.264015
336.0,480,6152.973144
294.0,576,6200.443807
294.0,461,6244.574953
357.0,540,6290.991054
567.0,673,6349.348317
462.0,602,6405.211233
441.0,669,6463.248774
189.0,410,6498.289877
420.0,753,6566.484262
378.0,516,6612.200246
399.0,512,6657.54546
420.0,512,6702.954996
399.0,541,6749.476272
567.0,708,6808.384344
315.0,510,6854.176945
252.0,491,6900.836369
315.0,588,6948.324965
210.0,318,6980.67628
336.0,503,7025.860751
378.0,578,7073.075698
525.0,694,7131.810071
441.0,638,7188.634646
336.0,508,7234.237487
546.0,636,7290.733697
378.0,601,7346.592628
273.0,549,7393.071817
504.0,647,7450.201068
462.0,597,7498.122261
252.0,511,7543.623234
357.0,547,7590.066644
420.0,739,7657.596718
273.0,458,7701.3545
378.0,619,7750.021437
294.0,396,7784.574486
357.0,515,7830.520787
378.0,473,7874.757724
441.0,676,7932.69669
399.0,692,7991.105346
420.0,848,8076.496899
399.0,517,8121.923527
441.0,820,8191.818362
399.0,671,8249.43211
483.0,748,8317.132107
378.0,846,8395.453391
399.0,684,8453.755628
294.0,560,8500.603725
399.0,609,8556.378619
420.0,513,8601.94902
420.0,813,8672.021496
399.0,565,8718.906466
399.0,672,8784.318907
189.0,566,8831.328587
525.0,829,8901.497656
273.0,519,8947.375231
294.0,377,8981.355629
315.0,607,9037.710205
462.0,924,9118.421734
420.0,713,9177.847254
336.0,420,9222.077933
378.0,380,9248.293266
609.0,756,9316.245478
357.0,479,9360.86171
252.0,446,9396.645745
189.0,284,9420.322165
567.0,832,9498.262796
441.0,747,9565.955388
336.0,490,9603.412052
273.0,582,9658.424645
399.0,668,9716.005029
441.0,730,9783.452592
504.0,952,9864.859948
420.0,726,9931.962088
399.0,941,10012.775496
483.0,1113,10106.506544
315.0,509,10151.829551
420.0,838,10229.689795
189.0,506,10274.891883
567.0,1007,10359.079851
399.0,877,10438.232244
483.0,786,10507.198343
462.0,772,10575.960057
651.0,1121,10677.588367
567.0,838,10747.760936
420.0,705,10814.151596
483.0,794,10883.021415
315.0,545,10929.116166
378.0,732,10996.534993
210.0,431,11031.709664
315.0,495,11076.72898
462.0,906,11157.026284
