#{"t_start": 1680424589.5550964, "env_id": "CarnivalNoFrameskip-v4"}
r,l,t
360.0,319,36.071253
580.0,286,59.231244
40.0,407,94.075939
1700.0,529,140.251611
860.0,403,182.665543
380.0,340,208.076022
1260.0,308,240.173818
200.0,606,288.61499
1020.0,511,334.596772
420.0,318,366.761029
560.0,451,402.961845
700.0,441,446.53362
120.0,297,470.752369
960.0,400,505.479154
680.0,449,549.290107
540.0,455,585.662726
560.0,507,631.055053
580.0,274,654.453636
500.0,304,686.334022
1220.0,438,721.943933
480.0,331,754.676551
280.0,322,779.215984
940.0,455,823.260914
460.0,305,847.428926
440.0,343,880.292112
380.0,331,904.851856
500.0,376,938.637096
1680.0,392,973.074078
320.0,699,1038.962066
680.0,327,1063.779126
380.0,328,1096.176428
360.0,362,1129.5016
260.0,491,1168.0938
820.0,538,1221.976462
900.0,786,1290.892019
440.0,498,1336.040252
200.0,497,1373.352577
1040.0,323,1405.971957
400.0,440,1441.921036
380.0,391,1476.309253
540.0,406,1518.897131
560.0,494,1556.400292
740.0,386,1590.766222
720.0,433,1634.259508
400.0,443,1670.154075
440.0,329,1702.76574
900.0,383,1736.814297
420.0,370,1770.82024
520.0,338,1795.822194
560.0,490,1840.863359
420.0,453,1885.125485
920.0,506,1930.476352
480.0,415,1965.368409
440.0,375,1999.310167
440.0,347,2024.533131
60.0,457,2068.506717
580.0,389,2102.570256
1040.0,602,2158.232863
520.0,414,2193.387018
620.0,445,2229.314142
300.0,293,2260.559319
1040.0,449,2296.449558
1060.0,336,2330.485403
480.0,325,2355.40799
760.0,360,2388.88902
760.0,460,2432.900891
60.0,300,2456.868526
180.0,336,2482.020237
300.0,325,2514.514448
720.0,457,2558.865829
480.0,357,2584.387701
700.0,312,2616.765132
300.0,307,2640.894199
680.0,467,2685.327639
380.0,353,2718.50455
920.0,466,2755.129283
1640.0,536,2801.468073
300.0,341,2834.348792
940.0,316,2858.977015
740.0,418,2902.01376
820.0,796,2971.581042
1100.0,476,3016.447791
480.0,394,3051.395182
560.0,467,3088.248843
520.0,455,3132.553352
580.0,440,3168.763185
400.0,383,3203.077962
420.0,353,3236.798224
600.0,382,3271.180779
500.0,294,3295.345811
460.0,406,3330.082817
600.0,495,3375.718091
980.0,455,3419.851571
680.0,453,3457.980587
1460.0,646,3515.41363
500.0,311,3547.687057
40.0,407,3582.813914
500.0,341,3616.223957
520.0,475,3653.240521
720.0,488,3698.435471
180.0,429,3734.384688
760.0,641,3791.977736
540.0,296,3823.77549
500.0,364,3849.931422
280.0,401,3892.507847
1040.0,551,3939.136038
1540.0,724,4006.632774
360.0,360,4032.750707
440.0,454,4076.771877
560.0,442,4112.724298
480.0,495,4158.16929
140.0,529,4204.473282
120.0,300,4236.234101
660.0,356,4262.211514
360.0,556,4317.15924
560.0,501,4362.640968
660.0,503,4400.710734
1160.0,376,4434.921317
1540.0,473,4479.917396
1180.0,958,4569.966925
1040.0,516,4618.033954
700.0,342,4643.509583
700.0,447,4687.381687
820.0,473,4724.050326
480.0,297,4755.945305
700.0,488,4793.246054
500.0,373,4827.201544
720.0,522,4873.301778
240.0,447,4917.258194
320.0,513,4963.328656
720.0,366,4996.984595
500.0,362,5030.850839
560.0,423,5066.280641
760.0,361,5099.812813
1100.0,456,5136.088089
720.0,469,5180.658952
1980.0,401,5215.476096
680.0,386,5250.177845
0.0,399,5284.83106
440.0,434,5320.561852
960.0,465,5364.806505
500.0,318,5397.173362
420.0,444,5433.101729
500.0,419,5468.087297
420.0,444,5511.924501
460.0,357,5537.566818
500.0,406,5579.984288
420.0,372,5613.887001
400.0,374,5639.874227
520.0,385,5674.018568
440.0,287,5705.435309
440.0,382,5739.570429
400.0,383,5775.353203
500.0,346,5800.755922
620.0,447,5844.3528
380.0,340,5869.850178
500.0,398,5912.249415
560.0,419,5947.551696
380.0,283,5971.032687
600.0,452,6007.447627
640.0,285,6038.715337
440.0,327,6063.853278
480.0,359,6097.476151
360.0,390,6131.901486
520.0,491,6177.31225
580.0,414,6212.339046
480.0,332,6245.319669
420.0,423,6280.946829
380.0,346,6314.306351
640.0,477,6351.523636
400.0,307,6383.670473
660.0,489,6428.916605
360.0,416,6464.22038
380.0,312,6488.893719
540.0,420,6524.319363
640.0,471,6568.9963
280.0,388,6603.537134
260.0,378,6637.765901
320.0,357,6671.228546
580.0,364,6704.880273
440.0,454,6741.396628
460.0,343,6774.478017
440.0,322,6799.152628
480.0,325,6831.80514
460.0,344,6865.200259
400.0,408,6901.893023
440.0,299,6925.939618
800.0,476,6970.491702
500.0,289,6994.290939
520.0,437,7030.331516
480.0,453,7074.102755
660.0,371,7108.457929
660.0,292,7132.255297
1140.0,487,7177.153677
580.0,399,7212.107966
440.0,362,7245.691899
400.0,326,7270.609179
640.0,421,7313.438018
740.0,481,7350.53757
360.0,349,7383.862348
1640.0,505,7429.348498
320.0,303,7453.616225
440.0,406,7488.334185
960.0,420,7531.715218
300.0,398,7566.119938
560.0,387,7600.483486
420.0,436,7636.249002
580.0,384,7670.474431
880.0,454,7714.541153
160.0,276,7737.920721
540.0,407,7773.277634
680.0,308,7797.462444
240.0,481,7842.61002
620.0,401,7877.359701
680.0,359,7910.940075
980.0,604,7966.910295
1060.0,390,8001.392336
300.0,448,8037.683474
440.0,300,8076.4261
920.0,406,8111.152116
660.0,482,8156.13719
980.0,444,8192.254929
480.0,295,8216.085312
440.0,329,8248.774636
500.0,327,8273.626575
600.0,457,8317.763395
680.0,425,8353.001334
880.0,415,8388.363225
580.0,447,8432.06334
380.0,290,8456.071573
980.0,416,8491.36294
480.0,433,8534.778413
1240.0,345,8560.209138
440.0,358,8593.771906
440.0,348,8627.026691
1220.0,469,8671.723894
60.0,414,8706.770041
420.0,402,8741.684538
500.0,432,8777.167997
760.0,492,8822.332866
700.0,356,8855.696459
380.0,327,8880.656421
360.0,292,8912.334463
480.0,360,8946.021766
480.0,354,8971.701411
740.0,482,9016.817635
700.0,427,9052.656573
640.0,509,9098.236732
500.0,354,9131.614857
620.0,455,9175.990077
500.0,324,9202.5739
480.0,410,9237.815865
640.0,390,9272.298205
640.0,335,9305.134361
380.0,373,9339.139952
480.0,418,9374.563174
1620.0,386,9408.765956
940.0,491,9453.919605
380.0,309,9478.44785
1160.0,417,9521.432156
600.0,357,9547.366856
880.0,416,9590.334609
500.0,381,9616.937751
420.0,315,9649.108653
700.0,395,9683.4514
480.0,347,9716.527541
560.0,508,9762.375962
560.0,464,9799.003715
720.0,336,9831.691932
820.0,455,9868.199345
600.0,538,9922.506997
920.0,415,9957.654628
560.0,497,10002.95083
200.0,414,10037.995143
740.0,487,10082.863333
1080.0,393,10117.352274
460.0,349,10142.827496
700.0,461,10186.834067
540.0,512,10232.567895
1500.0,424,10268.047744
420.0,397,10302.682333
680.0,290,10334.231561
580.0,311,10360.030368
920.0,460,10404.275192
780.0,457,10440.426925
500.0,332,10473.281576
940.0,319,10497.896245
460.0,287,10521.686048
560.0,375,10555.677204
540.0,408,10598.514007
540.0,377,10632.433698
480.0,283,10656.342687
780.0,525,10702.255918
160.0,418,10737.545919
640.0,359,10771.27529
640.0,282,10794.825456
480.0,290,10818.515475
760.0,314,10850.837406
1300.0,305,10874.912745
500.0,406,10909.85338
500.0,420,10945.20429
720.0,398,10987.599326
1420.0,659,11044.971925
420.0,291,11068.833379
1720.0,444,11104.819232
520.0,380,11139.047778
380.0,402,11181.639789
480.0,286,11205.371477
700.0,313,11229.887627
580.0,413,11265.359231
880.0,480,11310.253414
500.0,336,11343.223589
760.0,394,11377.887811
640.0,287,11401.803995
520.0,302,11425.959383
520.0,417,11469.091098
460.0,354,11495.835731
780.0,472,11540.641628
580.0,469,11585.358753
840.0,480,11622.351218
680.0,513,11668.221687
400.0,420,11711.615671
580.0,447,11747.967056
520.0,378,11782.24091
1120.0,394,11816.774152
740.0,291,11840.550874
680.0,353,11873.921724
480.0,392,11908.370324
500.0,333,11941.409396
980.0,316,11965.777281
420.0,308,11997.875983
800.0,457,12034.087529
440.0,294,12058.222275
580.0,432,12101.35402
800.0,513,12147.036844
460.0,375,12181.292741
480.0,298,12205.294588
540.0,410,12240.136278
740.0,498,12285.241055
540.0,289,12309.172615
540.0,366,12342.875031
980.0,414,12378.374208
680.0,303,12410.194895
540.0,306,12434.719617
500.0,295,12458.560362
780.0,463,12503.100991
800.0,418,12538.412788
460.0,322,12571.201166
540.0,459,12607.968845
540.0,434,12652.830425
480.0,423,12688.441005
580.0,423,12724.037431
800.0,395,12758.861686
540.0,378,12793.205979
740.0,293,12824.840861
620.0,414,12860.286756
520.0,453,12896.458624
580.0,438,12940.169435
440.0,369,12974.178585
40.0,403,13008.964941
740.0,411,13044.160839
520.0,427,13079.716486
480.0,292,13103.8993
440.0,303,13135.65618
500.0,318,13160.168496
680.0,335,13192.926204
500.0,300,13217.083576
480.0,291,13240.868042
640.0,300,13272.650138
500.0,290,13296.314013
520.0,375,13330.042639
500.0,315,13354.47713
540.0,330,13387.049581
420.0,314,13411.611117
