#{"t_start": 1680424586.4169402, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
175.0,511,40.425094
155.0,448,81.376032
30.0,291,103.580299
30.0,385,135.682662
440.0,841,209.69344
195.0,686,264.739509
40.0,338,288.418605
105.0,381,320.624902
190.0,568,372.535773
140.0,574,417.311665
80.0,354,448.811414
140.0,528,492.36584
100.0,506,535.395203
155.0,443,569.195411
305.0,718,632.875339
105.0,458,667.051778
355.0,753,731.351165
135.0,465,773.184834
145.0,539,816.902454
220.0,508,859.926869
680.0,1249,959.654205
225.0,597,1012.406116
95.0,517,1055.629936
250.0,839,1123.292097
180.0,608,1176.36074
515.0,708,1239.469737
380.0,735,1295.810583
295.0,731,1359.59345
395.0,973,1437.202224
335.0,886,1512.395431
210.0,642,1566.364096
460.0,735,1630.122676
120.0,377,1662.22843
200.0,466,1696.662462
155.0,474,1738.727188
125.0,516,1781.91953
155.0,495,1824.518184
215.0,604,1877.437848
495.0,1308,1986.044866
245.0,609,2031.735534
370.0,759,2096.275963
235.0,540,2140.15897
190.0,409,2181.689316
180.0,585,2226.663424
235.0,722,2290.130594
210.0,593,2335.470375
345.0,575,2387.65905
260.0,757,2444.661972
210.0,608,2497.647221
235.0,625,2551.246352
110.0,481,2593.478138
290.0,734,2649.88907
210.0,609,2702.950675
210.0,629,2756.568888
170.0,506,2799.581613
210.0,614,2852.746527
85.0,277,2874.705096
365.0,847,2941.61024
480.0,761,3006.184586
260.0,734,3070.023932
365.0,1087,3158.108773
365.0,1004,3243.92581
120.0,393,3277.573877
340.0,633,3331.284018
170.0,435,3364.901661
255.0,496,3407.525693
365.0,514,3450.695385
555.0,1032,3537.232776
230.0,625,3590.66494
160.0,473,3625.345322
120.0,269,3647.167118
445.0,531,3690.679265
545.0,974,3775.730553
100.0,290,3798.124839
340.0,627,3851.667484
255.0,543,3895.583404
165.0,376,3927.651418
30.0,399,3960.237145
180.0,473,4002.279298
230.0,508,4045.25654
230.0,559,4089.51936
120.0,502,4132.449823
20.0,240,4153.467354
105.0,278,4175.52035
65.0,316,4198.611449
125.0,531,4242.240671
180.0,505,4285.122111
155.0,488,4327.506432
255.0,727,4392.556204
205.0,469,4427.105786
130.0,357,4458.678363
210.0,528,4502.222482
830.0,1078,4589.923473
310.0,774,4654.736452
440.0,615,4708.039093
140.0,528,4751.626177
425.0,871,4826.445575
50.0,296,4848.948033
350.0,820,4915.10715
60.0,441,4956.296013
215.0,492,4998.888199
270.0,807,5064.601573
160.0,487,5107.016179
420.0,605,5152.612545
80.0,365,5184.395167
580.0,864,5259.061583
140.0,507,5302.040453
65.0,291,5324.446279
155.0,483,5366.732802
160.0,710,5422.623876
140.0,493,5466.245131
150.0,470,5500.817024
145.0,390,5533.219323
35.0,287,5562.90838
355.0,651,5617.204384
405.0,564,5661.626964
540.0,778,5726.758575
75.0,383,5758.990685
210.0,630,5812.691437
185.0,590,5857.728759
140.0,518,5900.95975
25.0,378,5933.052276
445.0,649,5987.218127
265.0,808,6060.44294
385.0,601,6105.857594
280.0,589,6158.329907
160.0,591,6203.486103
240.0,747,6267.683109
125.0,487,6310.1258
285.0,754,6374.552038
135.0,598,6419.881379
80.0,347,6451.217979
110.0,479,6493.440778
195.0,586,6539.859739
240.0,700,6595.346221
100.0,290,6625.035848
190.0,606,6670.528537
225.0,630,6724.013937
260.0,717,6787.408777
120.0,495,6829.99871
225.0,711,6885.805885
290.0,868,6960.591806
225.0,618,7013.922604
415.0,1023,7092.81306
335.0,883,7167.933749
250.0,1137,7264.447077
185.0,609,7317.419508
210.0,639,7371.345379
185.0,601,7416.752775
215.0,622,7470.215798
640.0,1158,7567.44855
620.0,674,7626.324034
160.0,514,7669.317831
285.0,768,7733.996875
180.0,636,7787.824196
670.0,1150,7884.931529
265.0,666,7939.436986
305.0,620,7992.769421
395.0,710,8048.437018
375.0,755,8112.818146
260.0,694,8175.50993
155.0,461,8209.779763
85.0,370,8241.663589
305.0,655,8295.838917
335.0,528,8339.400353
470.0,807,8405.069305
515.0,874,8479.973886
255.0,782,8545.046314
260.0,586,8597.389294
320.0,965,8674.650849
275.0,670,8730.56056
175.0,510,8773.532035
555.0,807,8846.656184
190.0,684,8901.742985
85.0,457,8936.006208
140.0,483,8978.256929
200.0,671,9033.006733
95.0,393,9065.468338
185.0,521,9108.732849
220.0,570,9160.664141
285.0,601,9206.091281
395.0,824,9279.631011
135.0,469,9314.107727
315.0,636,9367.90828
125.0,364,9399.618713
270.0,824,9465.748984
295.0,748,9529.997166
345.0,752,9594.315311
305.0,635,9648.15202
230.0,948,9725.018647
245.0,515,9769.241611
180.0,498,9811.92924
135.0,455,9846.007619
105.0,517,9889.220034
245.0,560,9940.972352
445.0,709,9996.631187
530.0,727,10060.126292
680.0,762,10124.556617
455.0,732,10180.923781
420.0,883,10255.973806
390.0,884,10331.139767
105.0,315,10354.175266
610.0,825,10427.867744
170.0,556,10471.966631
90.0,380,10504.124249
105.0,465,10545.899601
265.0,665,10600.523508
345.0,997,10678.682149
270.0,673,10740.828079
545.0,1173,10838.462748
220.0,574,10884.36309
215.0,589,10936.862071
230.0,547,10980.911701
