#{"t_start": 1680424583.4408927, "env_id": "AirRaidNoFrameskip-v4"}
r,l,t
350.0,309,26.417164
725.0,581,71.699716
525.0,597,126.612804
875.0,669,183.823597
350.0,374,217.299095
650.0,684,282.852006
550.0,626,331.03394
575.0,593,386.456501
950.0,773,454.27506
475.0,320,486.532122
1100.0,942,567.059097
650.0,530,612.914237
375.0,258,635.780827
875.0,869,714.362536
500.0,378,748.264437
875.0,583,795.749075
500.0,376,829.35686
475.0,569,884.181596
525.0,577,931.249707
625.0,547,977.872761
650.0,461,1021.63345
700.0,387,1055.752204
1700.0,911,1135.416715
600.0,386,1170.511446
175.0,308,1194.431198
425.0,507,1239.596098
50.0,140,1251.243347
450.0,466,1295.38074
1850.0,1180,1398.502733
500.0,388,1432.497216
875.0,729,1499.674222
525.0,369,1533.338836
175.0,233,1555.291701
1250.0,959,1636.326879
925.0,609,1692.065987
250.0,345,1725.010955
300.0,423,1760.029479
150.0,257,1782.840905
450.0,370,1816.510401
50.0,154,1828.538489
200.0,254,1851.220147
925.0,543,1897.298752
575.0,473,1941.730607
850.0,569,1988.522072
1975.0,1489,2123.679821
1675.0,996,2213.46097
100.0,153,2225.392274
1675.0,1256,2339.464288
375.0,320,2363.914779
825.0,584,2419.004247
1500.0,960,2499.990677
450.0,411,2534.80689
725.0,591,2590.081401
1175.0,765,2658.082982
300.0,372,2691.587252
1875.0,1159,2793.871332
600.0,567,2840.967979
150.0,210,2862.443069
675.0,562,2909.256465
450.0,381,2943.257971
350.0,479,2987.839004
425.0,327,3012.466002
300.0,238,3034.712217
575.0,858,3113.225001
150.0,200,3126.620884
800.0,536,3180.473319
300.0,305,3204.553435
725.0,386,3238.741563
50.0,198,3259.700162
50.0,169,3272.196468
450.0,342,3297.225926
600.0,404,3339.49107
950.0,508,3384.778556
225.0,240,3399.020843
750.0,502,3445.237459
650.0,587,3500.54443
175.0,234,3522.584118
1400.0,680,3580.408134
125.0,225,3602.215623
300.0,196,3615.390865
950.0,749,3682.671827
475.0,330,3715.214204
100.0,187,3728.063286
