#{"t_start": 1680424588.8371327, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
220.0,1091,104.565575
308.0,1317,220.501268
660.0,1768,380.385232
660.0,2069,564.301118
396.0,1459,691.537897
900.0,2059,875.429941
308.0,1510,1011.778714
264.0,895,1091.609039
616.0,1153,1195.656062
948.0,2227,1390.832638
1284.0,2679,1629.960863
616.0,1200,1741.3793
900.0,1857,1902.795242
396.0,1298,2017.545168
308.0,951,2099.186949
616.0,1524,2236.417679
352.0,942,2326.988878
528.0,1322,2442.64155
660.0,1129,2545.181024
756.0,1389,2662.592196
528.0,1448,2797.301855
660.0,1585,2935.916637
660.0,1274,3050.841378
660.0,1683,3201.274622
616.0,1158,3305.362278
396.0,1121,3408.082529
616.0,1525,3539.94695
616.0,1812,3709.959042
352.0,959,3792.661836
440.0,1199,3897.535022
660.0,1999,4079.434444
572.0,1379,4204.889979
852.0,1434,4331.488079
484.0,1226,4436.761442
572.0,1326,4553.021531
396.0,1060,4655.142149
660.0,1058,4747.828113
528.0,1763,4907.843203
396.0,1221,5013.105531
528.0,1503,5149.390296
132.0,850,5220.227087
900.0,2074,5405.006228
440.0,1621,5552.737744
352.0,917,5633.909196
484.0,1018,5725.606467
484.0,1139,5829.870363
484.0,1251,5943.986618
308.0,969,6026.313264
528.0,1361,6151.151455
396.0,955,6233.464918
308.0,991,6324.041845
528.0,1337,6440.140552
396.0,995,6530.790179
484.0,950,6612.042939
660.0,1862,6781.190875
440.0,1310,6896.385464
440.0,1390,7023.052802
396.0,1556,7161.198742
484.0,1470,7288.87344
528.0,1207,7401.312573
396.0,1099,7495.054926
220.0,1096,7596.837334
352.0,1150,7699.877248
660.0,1939,7872.481364
308.0,1108,7966.629087
528.0,1241,8082.025502
308.0,1067,8174.396612
660.0,1704,8324.232843
484.0,1010,8415.165498
616.0,2327,8622.070436
900.0,2521,8849.35337
660.0,2248,9045.464035
484.0,1457,9180.336833
396.0,1466,9309.177922
616.0,2044,9492.905584
660.0,2807,9745.328752
660.0,2082,9929.733644
660.0,1698,10079.857361
528.0,1906,10251.477789
660.0,2824,10505.5773
308.0,1188,10609.686726
264.0,1097,10710.757829
616.0,2688,10951.183825
176.0,1060,11043.780172
708.0,2492,11264.594099
616.0,2006,11447.854524
616.0,1934,11622.027101
660.0,2535,11851.526378
396.0,1197,11955.81583
484.0,1306,12071.170634
176.0,1225,12183.618402
616.0,2792,12427.043751
756.0,2935,12692.042662
176.0,890,12772.175326
1284.0,4289,13162.063776
756.0,2991,13428.254385
616.0,2000,13610.830424
660.0,2728,13854.931415
708.0,3488,14166.214139
396.0,1469,14294.504085
660.0,2623,14534.519217
572.0,1352,14651.769131
396.0,1659,14801.210705
900.0,2421,15020.229762
660.0,2701,15261.46857
308.0,1278,15376.069633
660.0,2071,15560.297825
900.0,2520,15788.432226
352.0,1440,15915.576636
900.0,2726,16159.022737
616.0,1513,16296.202804
572.0,1237,16409.768539
804.0,2226,16607.142102
708.0,2092,16792.049078
220.0,1066,16885.155019
572.0,1435,17020.058556
660.0,2856,17275.328379
660.0,1985,17449.373673
660.0,2261,17655.048866
996.0,2685,17896.347298
660.0,2805,18149.358706
352.0,945,18231.076099
396.0,1625,18379.410447
484.0,1208,18485.807635
660.0,2034,18669.488321
484.0,1322,18785.647409
264.0,1078,18879.297699
660.0,2082,19072.310212
660.0,2087,19257.990602
396.0,1337,19374.921651
396.0,1211,19487.956648
528.0,1714,19640.133918
264.0,930,19721.478955
308.0,1171,19825.262176
528.0,1781,19985.751231
660.0,1522,20122.934819
396.0,1377,20248.210334
396.0,1479,20376.57376
396.0,1056,20469.268041
528.0,1204,20582.233444
660.0,2116,20770.236714
308.0,919,20851.256449
528.0,1165,20954.976697
660.0,1608,21102.77535
660.0,2183,21297.862604
484.0,1370,21415.694495
804.0,2973,21688.612522
900.0,2331,21897.407848
660.0,2123,22083.154919
660.0,2186,22279.06287
660.0,1351,22403.877004
660.0,1653,22553.199225
756.0,2083,22739.005907
660.0,1770,22899.943246
484.0,1352,23017.992191
484.0,1371,23145.561918
660.0,1976,23320.332784
440.0,1213,23433.756901
708.0,2243,23631.471939
484.0,1297,23746.999682
660.0,2029,23929.692873
572.0,1642,24077.913198
616.0,2771,24322.619209
996.0,2373,24539.194462
804.0,2721,24782.64901
708.0,2320,24990.652077
572.0,1774,25152.106727
660.0,2731,25396.992201
660.0,2906,25661.86035
660.0,2160,25849.197281
708.0,2917,26112.279898
396.0,1086,26213.262385
1044.0,2813,26457.397739
616.0,2750,26708.852995
572.0,1598,26848.395859
660.0,2758,27100.434316
528.0,1699,27251.362847
660.0,2767,27503.297943
